Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,465,471,464.049988,469.75,442.121368,9154096
2017-10-24,473,473.325012,460.799988,463.25,436.003693,14529328
2017-10-25,459.5,472.350006,457.625,467.649994,440.144867,13984134
2017-10-26,471,475.899994,470.049988,473.674988,445.815521,33659258
2017-10-27,477.5,478.850006,472,473.174988,445.34491,8524956
2017-10-30,477.325012,477.325012,470.524994,472.049988,444.286072,12968326
2017-10-31,462.5,465,460,460.924988,446.100769,9954988
2017-11-01,462.5,464.700012,461.649994,463.524994,448.617157,5633134
2017-11-02,461.524994,463,460,461.450012,446.608917,4686138
2017-11-03,458.5,464.950012,458.475006,463.325012,448.423615,3699086
2017-11-06,461.575012,467.5,461.325012,464.350006,449.415619,5066534
2017-11-07,463.125,480,462.924988,477.75,462.384644,13442820
2017-11-08,480.125,480.924988,473.75,476.149994,460.836121,5369994
2017-11-09,476.5,481.5,474.125,477.25,461.900726,4723232
2017-11-10,479.399994,482.174988,475,481.024994,465.554321,6589428
2017-11-13,481.024994,484.700012,474.674988,475.975006,460.666748,5021216
2017-11-14,475.975006,477.424988,471.625,474.549988,459.287567,5733710
2017-11-15,472.575012,476.75,472.25,475.899994,460.594147,7023516
2017-11-16,475.899994,497.950012,474.25,494.200012,478.305603,15687502
2017-11-17,492.75,492.75,482.575012,485.475006,469.861206,8057670
2017-11-20,484.5,485.5,478.625,480.274994,464.82843,5661190
2017-11-21,480.649994,485.75,480.024994,483.125,467.586792,5364656
2017-11-22,483.299988,485.524994,481.649994,483.149994,467.610962,6084920
2017-11-23,485.75,497.225006,484.5,495.625,479.684753,11894618
2017-11-24,495.450012,509.649994,495.100006,504.774994,488.540466,18619912
2017-11-27,503.350006,503.350006,496.649994,499.375,483.314148,6017730
2017-11-28,497.200012,499.950012,490.649994,492.350006,476.515106,4616868
2017-11-29,493.825012,495.975006,490.149994,491.350006,475.547272,3838070
2017-11-30,494.725006,494.725006,484.174988,488.049988,472.353363,17266944
2017-12-01,489.700012,491.600006,478.524994,479.399994,463.981598,4085000
2017-12-04,490,498.399994,484.274994,492.674988,476.82962,17811606
2017-12-05,492.674988,501.5,489.5,492.174988,476.345703,9976738
2017-12-06,492.5,497.049988,492,495.149994,479.225037,7490094
2017-12-07,494.5,501.450012,492.799988,499.899994,483.822266,7549544
2017-12-08,500.5,503.5,497.5,500.924988,484.814301,5983244
2017-12-11,497.475006,503.450012,496.975006,502.649994,486.483826,5139098
2017-12-12,501,507,501,505.25,489.000214,9320434
2017-12-13,505.450012,509.5,498.825012,501.875,485.733765,5362398
2017-12-14,502.625,507.5,499.649994,506.549988,490.258392,6023572
2017-12-15,506.5,513.200012,505.924988,511.450012,495.000824,10384134
2017-12-18,505.950012,515.349976,502.899994,508.299988,491.952087,4035448
2017-12-19,508.725006,508.975006,499.774994,501.975006,485.830536,7118898
2017-12-20,502.549988,509.299988,500.5,507.924988,491.589172,4186326
2017-12-21,507.399994,514.474976,499.200012,511.024994,494.589478,11059162
2017-12-22,508,522.400024,508,519.674988,502.961243,12906940
2017-12-26,515,520.75,511.5,517.799988,501.146576,10808906
2017-12-27,514,519.549988,513.700012,517.125,500.493286,6970172
2017-12-28,515,520,511.899994,516.625,500.009369,8433472
2017-12-29,515.049988,524.400024,515,521.025024,504.267883,6601768
2018-01-01,518.849976,522.25,515,516.775024,500.154572,5431340
2018-01-02,518.625,521,511.5,514.849976,498.291412,6112248
2018-01-03,514.25,515.799988,509.299988,510.649994,494.226532,6846552
2018-01-04,510.5,510.5,504.799988,507.700012,491.371429,8947614
2018-01-05,507.649994,513.200012,503,506,489.726074,11025976
2018-01-08,512.450012,519.5,510.024994,518.025024,501.364349,5594690
2018-01-09,520,522.450012,514.450012,520.674988,503.929108,9948236
2018-01-10,523.400024,528,516.525024,526.125,509.203827,9468634
2018-01-11,527.625,541.700012,527.625,537.900024,520.600159,16775298
2018-01-12,542.900024,542.950012,535.275024,539.224976,521.882507,18016528
2018-01-15,540,546.474976,532.549988,540.575012,523.189087,10649250
2018-01-16,540.625,567.400024,540.625,561.424988,543.368469,22646966
2018-01-17,562.424988,580.900024,561.5,576.049988,557.523132,26154088
2018-01-18,572.5,582.450012,566.049988,576.349976,557.813477,13204970
2018-01-19,572.5,573.950012,568,571.724976,553.337219,5988278
2018-01-22,566.075012,578.474976,566,575,556.506897,9650214
2018-01-23,577.5,594,577.5,588.549988,569.621094,15403796
2018-01-24,587.400024,610.525024,583.75,592.900024,573.831238,20604718
2018-01-25,591,591.700012,581.125,587.700012,568.798462,13548914
2018-01-29,583.275024,598.125,582.599976,591.450012,572.427856,10823002
2018-01-30,589.450012,591.549988,581.349976,585.325012,566.499878,8628312
2018-01-31,579.575012,583.299988,571.075012,575.125,556.627869,9213698
2018-02-01,571.099976,578.950012,559.275024,572.299988,553.893738,13005454
2018-02-02,567.625,581.450012,565.049988,571.625,553.240479,10244486
2018-02-05,570,577.424988,567.924988,569.099976,550.796631,9860220
2018-02-06,549.974976,564.174988,547.575012,553.875,536.06134,10552078
2018-02-07,558,562.400024,551.775024,554.525024,536.69043,8342056
2018-02-08,561.400024,573.200012,558.275024,567.125,548.885193,8807244
2018-02-09,559,560.150024,553,554.575012,536.738831,4382690
2018-02-12,557.400024,560.299988,548.900024,551.400024,533.665955,6291972
2018-02-14,553,558.650024,545.099976,548.875,531.222168,8345712
2018-02-15,551.5,564.849976,551.5,557.224976,539.303589,7986736
2018-02-16,562.5,570.825012,559.049988,564.025024,545.884888,9889222
2018-02-19,564.200012,568,560.150024,565.875,547.675415,6461840
2018-02-20,551.875,574.75,551.875,568.474976,550.191772,7188594
2018-02-21,573.75,575.950012,570,573.700012,555.248718,13771358
2018-02-22,572.775024,582,570.224976,580.375,561.709045,17859974
2018-02-23,581.75,583,573.375,577.825012,559.241089,9459828
2018-02-26,575.5,577.525024,567.174988,569.299988,550.990234,5083608
2018-02-27,572.474976,576.825012,562.825012,575.099976,556.603699,6616026
2018-02-28,573.799988,594.75,571.275024,586.299988,567.443481,17268416
2018-03-01,584.799988,584.799988,578.025024,580.375,561.709045,6579852
2018-03-05,580.375,585.400024,571.625,577.950012,559.362061,8101456
2018-03-06,581.275024,582.700012,571.799988,575.674988,557.160217,6689734
2018-03-07,577.5,580,569.025024,572.049988,553.651794,6370416
2018-03-08,574.5,582.900024,574.5,578.325012,559.724976,6093014
2018-03-09,581.174988,583,577.775024,581.700012,562.991455,4220964
2018-03-12,588,595.924988,585.875,592.875,573.807007,7676970
2018-03-13,590.099976,598.5,587.575012,591.900024,572.863403,8581052
2018-03-14,590,595.299988,584.549988,590.400024,571.411621,4429710
2018-03-15,590,594.200012,586,591.25,572.234253,6101500
2018-03-16,591,591.200012,584.625,585.950012,567.104736,17954826
2018-03-19,582,590.25,571.325012,573.375,554.934204,7526620
2018-03-20,574.299988,585,574.299988,582.275024,563.547974,8553766
2018-03-21,585,587.75,581.099976,583.75,564.975525,7692994
2018-03-22,582.25,588.724976,577.650024,580.650024,561.97522,6813168
2018-03-23,573.5,586.900024,571.174988,583.799988,565.023865,12008084
2018-03-26,583.450012,583.450012,572,577.625,559.047485,8930722
2018-03-27,580,580.650024,575.049988,577,558.442566,3802088
2018-03-28,575.375,575.375,563.125,565.900024,547.699585,12558322
2018-04-02,570.5,574.775024,560.650024,568.575012,550.288574,8072702
2018-04-03,567.349976,571.775024,564.049988,570.224976,551.885437,4077168
2018-04-04,572,572.275024,560,562.099976,544.02179,4813302
2018-04-05,569.775024,575.650024,564.549988,573.775024,555.32135,7763544
2018-04-06,571.5,573,561.049988,563.5,545.37677,5937742
2018-04-09,562.5,562.900024,553.275024,555.625,537.755066,7202882
2018-04-10,556,562.25,552.700012,556.700012,538.795471,8926058
2018-04-11,559,565.75,558.25,562.125,544.046021,9025574
2018-04-12,564.724976,586.375,562.5,581.299988,562.604309,17044366
2018-04-13,587,592.950012,575.125,585.724976,566.886963,21227038
2018-04-16,551,570,551,566.599976,548.377075,24745084
2018-04-17,563.5,563.700012,557.5,562.599976,544.505676,10397940
2018-04-18,561.424988,567.375,556.924988,562.974976,544.868652,10430380
2018-04-19,562,569.900024,561.549988,566.424988,548.207703,8525542
2018-04-20,569.5,596.849976,568.474976,589.224976,570.274414,24272692
2018-04-23,584,607.200012,577.625,593.849976,574.75061,21830638
2018-04-24,592.5,598.200012,575.049988,577.25,558.68457,8526216
2018-04-25,576,585.5,572.599976,580.174988,561.515442,11594178
2018-04-26,587,590.825012,580,588.224976,569.306519,11302084
2018-04-27,590,595.799988,587.099976,592.599976,573.540833,7663370
2018-04-30,590.849976,603.974976,590.325012,599.75,580.460876,5511678
2018-05-02,599.450012,600.799988,590.5,598.525024,579.27533,10295042
2018-05-03,598.625,602.349976,588.049988,591.275024,572.258484,5332230
2018-05-04,592.5,593,577.5,586.549988,567.685425,6023368
2018-05-07,590.625,595,587.75,591.5,572.476257,4638960
