Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,1292.000000,1314.500000,1273.719971,1293.949951,1265.046875,1886088
2017-10-24,1310.000000,1310.449951,1284.530029,1289.199951,1260.403076,1339020
2017-10-25,1289.250000,1307.000000,1277.500000,1279.949951,1258.191162,1105106
2017-10-26,1267.550049,1284.569946,1258.949951,1269.430054,1247.850098,3007552
2017-10-27,1269.000000,1296.569946,1265.150024,1292.150024,1270.183838,1409270
2017-10-30,1293.000000,1310.000000,1290.849976,1308.099976,1285.862671,1137252
2017-10-31,1300.650024,1320.000000,1300.650024,1312.000000,1289.696533,1592634
2017-11-01,1312.000000,1313.430054,1289.430054,1301.430054,1279.306152,741882
2017-11-02,1304.250000,1337.000000,1303.380005,1313.069946,1290.748169,1468422
2017-11-03,1316.199951,1318.349976,1301.400024,1310.050049,1287.779663,666886
2017-11-06,1310.000000,1335.900024,1305.880005,1332.780029,1310.123291,1377000
2017-11-07,1335.000000,1384.000000,1333.030029,1355.030029,1331.994995,2696892
2017-11-08,1361.500000,1379.500000,1359.119995,1367.500000,1344.253052,1402252
2017-11-09,1375.000000,1375.000000,1359.650024,1368.199951,1344.940918,1152432
2017-11-10,1361.099976,1363.000000,1346.680054,1354.380005,1331.355957,1356566
2017-11-13,1351.030029,1388.699951,1351.030029,1379.469971,1356.019409,1496996
2017-11-14,1378.280029,1378.280029,1353.750000,1357.300049,1334.226318,1657252
2017-11-15,1353.000000,1377.500000,1350.680054,1352.650024,1329.655396,6670834
2017-11-16,1355.000000,1381.500000,1343.469971,1373.319946,1349.973999,1653482
2017-11-17,1374.050049,1374.050049,1351.800049,1353.650024,1330.638428,1325464
2017-11-20,1357.500000,1363.449951,1347.650024,1351.719971,1328.741211,1014498
2017-11-21,1350.500000,1350.500000,1333.000000,1336.469971,1313.750488,1527740
2017-11-22,1336.500000,1354.849976,1336.199951,1340.319946,1317.535034,1822624
2017-11-23,1340.500000,1346.500000,1334.500000,1340.619995,1317.829956,793470
2017-11-24,1341.000000,1351.449951,1336.550049,1344.030029,1321.181885,2287512
2017-11-27,1344.000000,1347.949951,1331.099976,1342.930054,1320.100708,1856786
2017-11-28,1343.000000,1351.199951,1335.000000,1342.650024,1319.825439,911716
